PERIOD,DIVISION_NAME,DEPT_GROUP_NAME,SALE_AMT,SALE_QTY,SALE_AMT_LY,SALE_QTY_LY
202604,04 DRY FOOD,0420 SWEETED GROCE.2,922695.44,27973.0,1007984.96,31297.0
202601,03 SOFT LINE,0350 FOOTWEAR,233474.15,1282.0,245984.11,1738.0
202601,02 HOME LINE,0240 HOME IMPROVEMEN,152968.19,1414.0,166740.66,1459.0
202602,02 HOME LINE,0290 PACKAGING,12331.77,5791.0,13384.11,5954.0
202606,05 FRESH FOOD,0520 SEAFOOD,339000.47,2052.01,271664.69,2425.09
202606,02 HOME LINE,0250 STATIONERY & EDUTAINMENT,168901.83,2735.0,329413.58,3440.0
202605,04 DRY FOOD,0450 LIQUOR,672246.98,3188.0,3602039.52,5709.0
202603,04 DRY FOOD,0432 SALTED GROCERY_SME,5472.88,189.0,6305.6,220.0
202603,04 DRY FOOD,0422 SWEETED GROCE.2_SME,4901.4,154.0,3534.58,109.0
202604,04 DRY FOOD,0420 SWEETED GROCE.2,16746.73,360.0,17307.03,381.0
202604,06 PHARMACY,0630 WELL BEING,3270.09,19.0,1023.37,6.0
202605,06 PHARMACY,0640 HERBAL PREPARATION,0.0,0.0,62.62,1.0
202606,01 HARD LINE,0160 MOBILE AND IT,34985.51,82.0,21011.22,72.0
202602,05 FRESH FOOD,0530 PRODUCE,0.0,0.0,0.0,0.0
202601,05 FRESH FOOD,0550 BAKERY,217569.9,10868.0,171844.43,7468.0
202607,01 HARD LINE,0160 MOBILE AND IT,433.65,2.0,752.34,2.0
202603,05 FRESH FOOD,0530 PRODUCE,0.0,0.0,0.0,0.0
202607,03 SOFT LINE,0322 MEN ESSENTIAL,1159.82,20.0,1071.96,8.0
202604,04 DRY FOOD,0442 BEVERAGE_SME,374.77,17.0,1977.56,72.0
202606,06 PHARMACY,0640 HERBAL PREPARATION,0.0,0.0,70.09,1.0
202603,05 FRESH FOOD,0520 SEAFOOD,0.0,0.0,0.0,0.0
202606,05 FRESH FOOD,0510 BUTCHERY,1411440.26,14990.84,1557355.9,15786.27
202604,04 DRY FOOD,0440 BEVERAGE,2679.45,81.0,3278.51,76.0
202603,03 SOFT LINE,0320 MEN'S APPAREL,209496.24,502.0,108049.48,503.0
202601,02 HOME LINE,0210 HOUSEWARE,621945.31,7941.0,667987.84,8139.0
